epoch;accuracy;s;s_temp
654;0.8524;5;5
655;0.9468;5;4
656;0.8098;5;6
657;0.8638;4;4
658;0.8232;4;3
659;1;4;5
660;0.8584;5;5
661;0.9328;5;4
662;0.7724;5;6
663;0.989;4;4
664;0.7546;4;3
665;1;4;5
666;0.934;5;5
667;0.9674;5;4
668;0.908;5;6
669;0.9724;4;4
670;0.8294;4;3
671;0.8954;4;5
672;0.9274;4;5
673;0.8376;4;3
674;0.808;4;5
675;1;4;5
676;0.6822;4;3
677;0.9938;4;5
678;0.9584;4;5
679;0.9172;4;3
680;0.9546;4;5
681;0.977;4;5
682;0.9582;4;3
683;0.9764;4;5
684;0.965;4;5
685;0.856;4;3
686;0.9548;4;5
687;0.96;4;5
688;0.8964;4;3
689;0.9084;4;5
690;0.9698;4;5
691;0.7494;4;3
692;0.9468;4;5
693;0.895;4;5
694;0.7868;4;3
695;0.9066;4;5
696;0.94;5;5
697;0.908;5;4
698;0.8912;5;6
699;0.6828;5;6
700;0.9454;5;4
701;0.8148;5;6
702;0.8718;4;4
703;0.9906;4;3
704;0.9134;4;5
705;0.904;3;3
706;0.4854;3;2
707;0.953;3;4
708;1;4;4
709;0.8284;4;3
710;0.9424;4;5
711;0.9184;4;5
712;0.7934;4;3
713;0.9448;4;5
714;0.7228;5;5
715;0.9776;5;4
716;0.7308;5;6
717;0.9562;4;4
718;0.8804;4;3
719;0.985;4;5
720;0.9324;5;5
721;0.9242;5;4
722;0.9448;5;6
723;0.8682;6;6
724;0.9144;6;5
725;0.8302;6;7
726;0.819;5;5
727;1;5;4
728;0.9372;5;6
729;0.9604;4;4
730;0.8326;4;3
731;0.9338;4;5
732;0.822;4;5
733;0.8006;4;3
734;0.9166;4;5
735;0.702;5;5
736;0.9808;5;4
737;0.7684;5;6
738;0.9306;4;4
739;0.6576;4;3
740;1;4;5
741;0.9276;5;5
742;1;5;4
743;0.873;5;6
744;0.959;4;4
745;0.7584;4;3
746;0.931;4;5
747;0.9452;4;5
748;0.7802;4;3
749;0.9456;4;5
750;0.9252;5;5
751;0.8734;5;4
752;0.8666;5;6
753;0.8596;5;6
754;1;5;4
755;0.8538;5;6
756;0.8826;4;4
757;0.7584;4;3
758;0.9448;4;5
759;1;5;5
760;0.93;5;4
761;0.718;5;6
762;0.7886;5;6
763;0.8514;5;4
764;0.763;5;6
765;0.9532;4;4
766;0.7462;4;3
767;0.9272;4;5
768;0.9282;4;5
769;0.6974;4;3
770;0.9742;4;5
771;1;5;5
772;0.9662;5;4
773;0.839;5;6
774;0.9276;5;6
775;0.9952;5;4
776;0.8874;5;6
777;0.8796;4;4
778;0.8348;4;3
779;0.9864;4;5
780;0.9688;5;5
781;0.989;5;4
782;0.9308;5;6
783;0.9674;4;4
784;0.8152;4;3
785;0.9588;4;5
786;0.991;4;5
787;0.7902;4;3
788;0.9172;4;5
789;0.9548;4;5
790;0.6602;4;3
791;0.9286;4;5
792;0.9362;4;5
793;0.8314;4;3
794;0.9396;4;5
795;0.9708;5;5
796;0.9748;5;4
797;0.8318;5;6
798;0.8692;4;4
799;0.784;4;3
800;0.9298;4;5
801;0.9038;5;5
802;0.9228;5;4
803;0.7816;5;6
804;0.8498;4;4
805;0.953;4;3
806;0.9648;4;5
807;0.9106;5;5
808;0.9392;5;4
809;0.7934;5;6
810;1;4;4
811;0.9858;4;3
812;0.969;4;5
813;0.909;4;5
814;0.8112;4;3
815;0.8558;4;5
816;0.7662;4;5
817;0.7458;4;3
818;0.956;4;5
819;1;5;5
820;1;5;4
821;0.9382;5;6
822;0.8858;5;6
823;0.9896;5;4
824;0.8218;5;6
825;0.996;4;4
826;1;4;3
827;0.894;4;5
828;0.7912;3;3
829;0.4748;3;2
830;0.8792;3;4
831;0.9252;4;4
832;0.9816;4;3
833;0.9726;4;5
834;0.8826;3;3
835;0.443;3;2
836;0.774;3;4
837;0.8638;3;4
838;0.5106;3;2
839;0.8878;3;4
840;0.874;4;4
841;0.8938;4;3
842;0.9966;4;5
843;1;5;5
844;1;5;4
845;0.7688;5;6
846;0.845;5;6
847;0.966;5;4
848;0.7668;5;6
849;0.9034;4;4
850;0.8078;4;3
851;0.831;4;5
852;0.9372;4;5
853;0.887;4;3
854;0.909;4;5
855;1;4;5
856;0.9074;4;3
857;1;4;5
858;0.9128;4;5
859;0.9476;4;3
860;0.9864;4;5
861;0.983;5;5
862;0.9932;5;4
863;0.798;5;6
864;0.9258;4;4
865;0.7958;4;3
866;0.9674;4;5
867;0.8672;5;5
868;0.8596;5;4
869;0.7688;5;6
870;0.8202;5;6
871;0.9864;5;4
872;0.6996;5;6
873;0.9236;4;4
874;0.9216;4;3
875;1;4;5
876;0.9764;5;5
877;0.9178;5;4
878;0.928;5;6
879;0.7718;5;6
880;0.8602;5;4
881;0.88;5;6
882;0.757;6;6
883;0.7662;6;5
884;0.8054;6;7
885;0.893;7;7
886;0.8822;7;6
887;0.8546;7;8
888;0.8544;7;8
889;0.867;7;6
890;0.8708;7;8
891;0.8034;8;8
892;0.712;8;7
893;0.8284;8;9
894;0.7874;9;9
895;0.805;9;8
896;0.8752;9;10
897;0.7562;10;10
898;0.836;10;9
899;0.6494;10;11
900;0.7888;9;9
901;0.8122;9;8
902;0.7298;9;10
903;0.8942;8;8
904;0.792;8;7
905;0.791;8;9
906;0.9244;8;9
907;0.8402;8;7
908;0.8934;8;9
909;0.848;8;9
910;0.8126;8;7
911;0.8052;8;9
912;0.758;8;9
913;0.875;8;7
914;0.9008;8;9
915;0.7576;9;9
916;0.886;9;8
917;0.8348;9;10
918;0.8214;8;8
919;0.8292;8;7
